Timestamp, Case ID, User Name, Event
2024-10-17 15:57:33, 1, Jack, enter index
2024-10-17 15:57:35, 1, Jack, start browsing events
2024-10-17 16:03:09, 1, Jack, enter index
2024-10-17 16:05:26, 1, Jack, enter index
